DMS_id,n,EU,AU,frac_split,min_pair_rho,min_pair,min_pair2,min_pair2_rho,max_pair,max_pair_rho,dev_MSA_Potts,cen_MSA_Potts,dev_Evo_Conservation,cen_Evo_Conservation,dev_MSA_Conditioned,cen_MSA_Conditioned,dev_ESM_Masked,cen_ESM_Masked,dev_AR_PLM,cen_AR_PLM,dev_xTrimoPGLM,cen_xTrimoPGLM,dev_Inverse_Folding,cen_Inverse_Folding,dev_Struct_PLM,cen_Struct_PLM,dev_Struct_MSA_Hybrid,cen_Struct_MSA_Hybrid,dev_CNN_RNN,cen_CNN_RNN,EU_pct,AU_pct,taxon,coarse_selection_type,selection_assay,seq_len,MSA_Neff_L,MSA_num_seqs,MSA_perc_cov,MSA_Neff_L_category,region_mutated,UniProt_ID,source_organism,DMS_number_multiple_mutants,rho_ens,rho_best_single,rho_MSA_Potts,rho_Evo_Conservation,rho_MSA_Conditioned,rho_ESM_Masked,rho_AR_PLM,rho_xTrimoPGLM,rho_Inverse_Folding,rho_Struct_PLM,rho_Struct_MSA_Hybrid,rho_CNN_RNN
A0A140D2T1_ZIKV_Sourisseau_2019,9576,0.15060516983803054,0.14955037035283214,0.4758771929824561,0.3222505944043935,MSA_Potts vs ESM_Masked,MSA_Potts vs Inverse_Folding,0.35990522681075576,MSA_Conditioned vs xTrimoPGLM,0.8847395074116721,0.13523597484033112,0.5261802864957555,0.09938283600605524,0.6712432277297876,0.09480255691500636,0.6974450027344415,0.16151406193184156,0.4456923384963637,0.12659654697520742,0.6070135112978667,0.10016729702807563,0.657615169213722,0.13983136156552153,0.4895316464515446,0.11020287406881635,0.6133392176378324,0.09835169535564987,0.6709841119320261,0.11532932134243526,0.5464523775717551,92.0,94.0,Virus,OrganismalFitness,Viral replication,3423,1.63,16501,0.948,Medium,291-794,A0A140D2T1_ZIKV,Zika virus (ZIKV),0,0.414400953775235,0.3868750229677319,0.3342905805332476,0.4529836980386983,0.442494650702229,0.0696881593550566,0.3497607809989923,0.3879136253342384,0.2908792819091989,0.3025048453586748,0.4663695514981269,0.1923005703400519
A0A192B1T2_9HIV1_Haddox_2018,12577,0.13113209085289923,0.1299062549455777,0.3148604595690546,0.33132738142703266,MSA_Potts vs Struct_PLM,Evo_Conservation vs Struct_PLM,0.3870950387299596,MSA_Conditioned vs CNN_RNN,0.9331395588188651,0.10872993966716851,0.696247336146033,0.08638762051186756,0.759002787543293,0.06675369085317064,0.8025259523791196,0.08961010148069114,0.7253423396384364,0.08683047941891907,0.7655673889558621,0.0824784920816845,0.7531988191231099,0.1559243849596222,0.46139801520320867,0.16568773470789264,0.47284207895104924,0.08823383928075594,0.7413698269908077,0.07611736368042192,0.7730048580544752,81.0,75.0,Virus,OrganismalFitness,Viral replication,852,42.81,74854,0.986,Medium,30-691,A0A192B1T2_9HIV1,Human immunodeficiency virus 1,0,0.5657891115110755,0.5616360230931883,0.4737730858036442,0.5459728764402821,0.533371183747621,0.4369474190361188,0.5101051882776533,0.4896662999460612,0.3628170296875023,0.3370415951566869,0.619182338914426,0.5306779577060852
A0A1I9GEU1_NEIME_Kennouche_2019,922,0.11413759479405548,0.11644321074431223,0.1616052060737527,0.5073940497251922,xTrimoPGLM vs Inverse_Folding,MSA_Potts vs Inverse_Folding,0.5659251524449694,MSA_Conditioned vs ESM_Masked,0.9469449877928843,0.09268025277501987,0.7882612157823323,0.07649389158404737,0.8266625217227388,0.05762007048715186,0.8661663045517993,0.057039147503854526,0.8509747333570298,0.09388017341031396,0.7937380079957049,0.1269280447579298,0.6775801657474243,0.13381838343818572,0.6350475168098757,0.08788868707876712,0.7899721597164052,0.075303852325182,0.8227669531674451,0.06822337557229638,0.8337747976388834,53.0,50.0,Prokaryote,Activity,"piliation (20D9 anti-pilus monoclonal Ab), aggregation, adhesion (human umbilical vein endothelial cells (HUVECs))",161,14.07,5553,0.857,Medium,1-161,A0A1I9GEU1_NEIME,Neisseria meningitidis,0,0.0682820790290843,0.0704608146226883,0.0684689778184359,0.0448485594941353,0.0712000693075781,0.0564967318288084,0.0844258871145887,0.0645684423120812,0.0549832279383274,0.0624340244213901,0.0438116083997266,0.0690511891188101
A0A247D711_LISMN_Stadelmann_2021,1653,0.16297093465168017,0.13260982075492353,0.5347852389594676,0.07424627941745808,MSA_Potts vs AR_PLM,MSA_Potts vs xTrimoPGLM,0.12283053582966431,ESM_Masked vs AR_PLM,0.9296592571504122,0.15680862564864922,0.3610338814228942,0.1471718301811088,0.4592734157929396,0.10369546921172246,0.63960011292709,0.13617264716470584,0.5680912864954837,0.14406418170437393,0.5278850483069416,0.13458462233630958,0.48904939918033047,0.14916504081197215,0.48448787250767134,0.11042403729944285,0.6036654264310797,0.12970907112856578,0.5532281207035195,0.1141522126933901,0.5277616754662999,96.0,80.0,Prokaryote,Activity,activity against SpyCas9 inducing an RFP reporter,87,0.1,57,1.0,Low,1-87,A0A247D711_LISMN,Listeria monocytogenes,0,0.3966225708736706,0.5562673208489664,0.4187793642512181,0.5298762299198349,0.3870123790825986,0.0915082988830662,0.0511678022585862,0.0139591654716562,0.4677133323010879,0.4597634769553506,0.5667305304067402,0.0664845120885908
A0A2Z5U3Z0_9INFA_Doud_2016,10715,0.1328261862822073,0.13812167188296892,0.3230984601026598,0.41557975298526634,MSA_Potts vs Inverse_Folding,xTrimoPGLM vs Inverse_Folding,0.44112781151091973,MSA_Conditioned vs xTrimoPGLM,0.8778333812654179,0.12103414917255115,0.6763613537058133,0.09026772280613968,0.7464185165011022,0.08750892083940398,0.7638943699949318,0.09640002737827537,0.7056056394851097,0.10997777757938447,0.7068967965173383,0.09131825829747918,0.7269762178855941,0.14647381037873256,0.5204525467330348,0.11053645988592725,0.6532416398312437,0.08942511355778437,0.7409949009606057,0.10375150310143165,0.6804557230754598,82.0,87.0,Virus,OrganismalFitness,viral replication,565,16.01,57581,0.968,Medium,2-565,A0A2Z5U3Z0_9INFA,Influenza A virus (A/WSN/1933(H1N1)),0,0.6272624395617649,0.5572903280092083,0.5257636822470763,0.584015953624463,0.5634934440620035,0.4728825078010234,0.5403957271151519,0.5037485763008136,0.4703616596798642,0.5158257006277812,0.654904230706724,0.5073331550223067
A0A2Z5U3Z0_9INFA_Wu_2014,2350,0.1287433086294466,0.13550087558256513,0.27404255319148935,0.4518594770198047,MSA_Potts vs Inverse_Folding,xTrimoPGLM vs Inverse_Folding,0.4932008802806108,Evo_Conservation vs MSA_Conditioned,0.8775762505037983,0.12458004526935267,0.6770211470428487,0.08658722800663951,0.7660894533386614,0.08041422061264523,0.7876149041469541,0.09605337558472914,0.7144058240298979,0.10087314320205222,0.742373192598828,0.09198586389014636,0.7351929320229434,0.13887588954277952,0.5654985240000951,0.10654743926361852,0.6794539216177153,0.08185425682812736,0.7740866366118196,0.10261553644182887,0.6994682019984279,78.0,85.0,Virus,OrganismalFitness,Viral replication,565,16.01,57581,0.968,Medium,6-560,A0A2Z5U3Z0_9INFA,Influenza A virus (A/WSN/1933(H1N1)),0,0.5674233155305959,0.4381852796335957,0.5122744407308151,0.5378975727531687,0.5619079743528365,0.4533746423125996,0.4985311816918284,0.4703108748379838,0.3753528218835905,0.4426195182997513,0.5391440456897968,0.4620246492805997
A4D664_9INFA_Soh_2019,14421,0.1634552069240327,0.17101446771699985,0.5754802024824908,0.09609753211770736,MSA_Potts vs ESM_Masked,MSA_Potts vs xTrimoPGLM,0.17689584214822968,ESM_Masked vs xTrimoPGLM,0.806437589057737,0.17713101953737864,0.37758834469767,0.11258099472497907,0.5451048488324439,0.10855080745600816,0.5588495305689254,0.16178218743775552,0.36764095650879725,0.14965226825252656,0.48548365593394255,0.1254246871956838,0.4577996019892918,0.1410657615615679,0.37594279385793256,0.11944836076396698,0.4985714270310873,0.1048301456299613,0.5401497268589968,0.09189473895463779,0.5588979813938962,97.0,99.0,Virus,OrganismalFitness,Viral replication (avian cells: CCL141 (duck)),759,1.7,26683,1.0,Medium,1-759,A4D664_9INFA,Influenza A virus (A/green-winged teal/Ohio/175/1986(H2N1)),0,0.4486063492092993,0.3177769984507737,0.3979097863752549,0.4785133194195695,0.4354697938697397,0.085957582963441,0.3695245191674207,0.1944284346387281,0.2240393791609852,0.277336709211244,0.4599066123959678,0.3160942245442013
A4GRB6_PSEAI_Chen_2020,5004,0.10268007787787312,0.10818434447522271,0.1189048760991207,0.5814302598316828,MSA_Potts vs Inverse_Folding,AR_PLM vs Inverse_Folding,0.6167967721754253,MSA_Conditioned vs ESM_Masked,0.951865375689378,0.09441685660264754,0.7816045722226717,0.08011082873642467,0.826849713199691,0.051869012384017636,0.8822579656572658,0.06400594552335748,0.8645639927002089,0.08122413739671733,0.8274894250122165,0.0786619625163179,0.8220290967229003,0.1293269660850057,0.6740340681518684,0.06748247418585249,0.8469950364874023,0.06304451243162146,0.859226176115826,0.06857715532876124,0.8424759826167667,25.0,28.0,Prokaryote,OrganismalFitness,"drug resistance (128/16/2.0 ug/mL ampicillin, 4.0/0.5 ug/mL cefotaxime, 0.031 ug/mL meropenem @ 25C, 37C)",266,120.61,108496,0.726,High,1-266,A4GRB6_PSEAI,Pseudomonas aeruginosa,0,0.7706059083004113,0.6602408152096942,0.6456582043439814,0.7583583789226164,0.723360476968674,0.7224021296183242,0.6470448152708744,0.6776677089492084,0.6822969840065133,0.7666625307677318,0.7844841615707078,0.668011256074172
A4_HUMAN_Seuma_2022,14811,0.1323640679439269,0.14224866081726142,0.321517790831139,0.32477123011427206,MSA_Potts vs Inverse_Folding,xTrimoPGLM vs Inverse_Folding,0.34311873447420727,MSA_Conditioned vs ESM_Masked,0.9112409067016554,0.1339222854239838,0.6135860198912515,0.09111017182731725,0.7232892154407898,0.06437319438801471,0.7761281400644632,0.06826092912362243,0.7785787552526123,0.10610770175892706,0.6774286734732337,0.10253759641264401,0.693268358164068,0.15297611045923926,0.42052813486168517,0.10839334464658679,0.6898869654923555,0.09794463313922537,0.7198159864341243,0.09472459008306042,0.6910818297017011,81.0,89.0,Human,Stability,aggregation,770,0.08,5272,0.987,Low,672-713,A4_HUMAN,Homo sapiens,14015,0.4547637616519323,0.422924157072833,0.3977482542533447,0.4671589146536772,0.4364045253093476,0.4759720292179573,0.3405091895550506,0.335572255116206,0.1223969629713132,0.4401122665721257,0.4474479756869383,0.3456203033892889
AACC1_PSEAI_Dandage_2018,1801,0.1046854753803482,0.11235083240192163,0.14158800666296503,0.5328479644552199,MSA_Potts vs Inverse_Folding,ESM_Masked vs Inverse_Folding,0.5598232477435255,MSA_Conditioned vs ESM_Masked,0.9607331796212707,0.08227123701918537,0.816139915425924,0.07882064820344221,0.8299108636075812,0.06023673483061986,0.8702516544218363,0.06926939123112452,0.8504591345753862,0.06684541861550378,0.8429801267397017,0.06999726538498416,0.8354295228637785,0.14567734029760956,0.6156194464353086,0.07572974193393907,0.82682972138917,0.056546217203246235,0.8603984159677027,0.08942587780268495,0.7711680753667601,29.0,39.0,Prokaryote,OrganismalFitness,"Antibiotic resistance under: heat/cold resistance (32C, 37C (ref), 42C), chemical stability (chemical chaperones TMAO, glycerol), antibiotic resistance (gentamicin), or combo",177,985.3,539868,0.746,High,12-172,AACC1_PSEAI,Pseudomonas aeruginosa,0,0.508601608561597,0.3598862710792511,0.4896596020589016,0.5160297755558446,0.5195555085748996,0.5043995703336301,0.4197888933350867,0.469858270362723,0.3397701544178976,0.4827983252683337,0.51475726462948,0.3585521190217486
