DMS_id,n,EU,AU,TU,raw_sd,conf_mag,EU+conf_mag
A0A140D2T1_ZIKV_Sourisseau_2019,9576,0.4407361806853922,0.4438415405244826,0.4244342679756019,0.4309094910523992,0.42647101909439267,0.4169921970816049
A0A192B1T2_9HIV1_Haddox_2018,12577,0.5046057680896927,0.5218895658581224,0.5154871658084412,0.5079901709271377,0.5468060372269696,0.5302999477432494
A0A1I9GEU1_NEIME_Kennouche_2019,922,0.4321903993545785,0.4085665040888921,0.40141552678866116,0.4498221423594558,0.26595401371520777,0.31879790237999195
A0A247D711_LISMN_Stadelmann_2021,1653,0.5441341444506261,0.4952573351695959,0.5314589166659066,0.534318196328083,0.4500253094132776,0.4980026084656567
A0A2Z5U3Z0_9INFA_Doud_2016,10715,0.5180047870552732,0.5091579205825962,0.5154159527006201,0.5065926492842054,0.5599369870545766,0.5460581292435268
A0A2Z5U3Z0_9INFA_Wu_2014,2350,0.5058384516698748,0.49503334568567314,0.5017982228399644,0.49988905421250457,0.5088745366464636,0.5097142329365941
A4D664_9INFA_Soh_2019,14421,0.4857504921673874,0.49595788753824965,0.4867137340541373,0.48535134982464656,0.49150861022506287,0.48411987971645387
A4GRB6_PSEAI_Chen_2020,5004,0.5550504953452742,0.5705735683252545,0.5732184378199867,0.5655533574594279,0.5690472405436182,0.577752499810956
A4_HUMAN_Seuma_2022,14811,0.43295769361627073,0.47545060016594487,0.44901873842208306,0.4346967312132096,0.4842472391318269,0.44954947959335523
AACC1_PSEAI_Dandage_2018,1801,0.4235418590335488,0.4126250384733764,0.41004924592182207,0.4063192520775623,0.44832159895352414,0.4258079409048938
ACE2_HUMAN_Chan_2020,2223,0.46993339315731597,0.3877036437860998,0.42353736681791176,0.43858899660014405,0.33881144070474334,0.38637529859329384
ADRB2_HUMAN_Jones_2020,7800,0.4992974400065746,0.49353026380670606,0.4963423528928337,0.498853550295858,0.4869600078073636,0.49172131821170284
AICDA_HUMAN_Gajula_2014_3cycles,209,0.4780439121756487,0.5069860279441117,0.4875962360992301,0.49030510407755923,0.4699173082406615,0.47077274023381804
AMFR_HUMAN_Tsuboyama_2023_4G3O,2972,0.4240957636735805,0.42269579266287916,0.41154198322155955,0.3983709428239113,0.39231182586623214,0.38998808610528773
AMIE_PSEAE_Wrenbeck_2017,6227,0.5498407422794627,0.5624208139695913,0.5640346470082415,0.5583960541444044,0.5989575785097084,0.5860253363091499
ANCSZ_Hobbs_2022,4670,0.5046400208171893,0.5311581510300841,0.521848018469524,0.5211103609077028,0.5107683961593661,0.5085455364553004
ARGR_ECOLI_Tsuboyama_2023_1AOY,1287,0.6049977022924342,0.5383076818767374,0.5831694804167515,0.5775984812529663,0.4933178143904295,0.553864292117733
BBC1_YEAST_Tsuboyama_2023_1TG0,2069,0.7085674647494067,0.5086992182046628,0.6912635534459491,0.6927352366326958,0.4589993717716041,0.6179382474754526
BCHB_CHLTE_Tsuboyama_2023_2KRU,1572,0.6152845651652334,0.5371873066383805,0.5981311007563991,0.5907135911909182,0.5464206791175765,0.5941255950802491
BLAT_ECOLX_Deng_2012,4996,0.5425405405405406,0.5090047547547547,0.5335057557557558,0.536298048048048,0.5004005255255255,0.5293362112112112
BLAT_ECOLX_Firnberg_2014,4783,0.6172787412310098,0.5958019184581544,0.6244141033603334,0.614286510216355,0.6145385939354611,0.6369952112286773
BLAT_ECOLX_Jacquier_2013,989,0.5241287719163825,0.5533655135425046,0.5420194358247457,0.5307563626147698,0.6148399289992211,0.5822031950350535
BLAT_ECOLX_Stiffler_2015,4996,0.6239324324324325,0.6032862862862862,0.6336376376376377,0.6252885385385385,0.6315636886886886,0.650552052052052
BRCA1_HUMAN_Findlay_2018,1837,0.5008658056607814,0.47431197064014236,0.48588496784150403,0.4797357169756984,0.5069762891089401,0.5047923912481631
BRCA2_HUMAN_Erwood_2022_HEK293T,265,0.5533614182903284,0.45322099350535366,0.530279094260137,0.5328242934878006,0.41627172195892576,0.4831929085483588
C6KNH7_9INFA_Lee_2018,10754,0.555668389601478,0.5034317923866525,0.5379798155671318,0.535807652104536,0.5320064471039343,0.5500408996396822
CALM1_HUMAN_Weile_2017,1813,0.4519198252113612,0.45975491593046447,0.45046831955922867,0.4580127291726038,0.39638643488173264,0.4100826446280992
CAPSD_AAV2S_Sinai_2021,42328,0.4829218621019322,0.5431564947613348,0.507356064915333,0.5091334147716996,0.49061201882439337,0.47845479518368095
CAR11_HUMAN_Meitlis_2020_gof,2374,0.5019566368170421,0.47103834919750814,0.48430546300072164,0.48270633649732725,0.45190077237699605,0.47022994488704994
CAR11_HUMAN_Meitlis_2020_lof,2395,0.5362903753034549,0.5298061375255512,0.5458581944813699,0.5262093522953614,0.5761660949873824,0.5668390784558994
CAS9_STRP1_Spencer_2017_positive,8117,0.4560181999146879,0.4425660931797715,0.44173752310536046,0.457578463434286,0.3449490497179961,0.37706493198729796
CASP3_HUMAN_Roychowdhury_2020,1567,0.5351106389251783,0.5516874151717407,0.5501268293674798,0.553072625698324,0.5431867975457628,0.545187092379563
CASP7_HUMAN_Roychowdhury_2020,1680,0.5305960569255687,0.5103371476675409,0.520993568144307,0.5171622944336056,0.5599669458738685,0.5571918133590814
CATR_CHLRE_Tsuboyama_2023_2AMI,1903,0.5229770884421313,0.5631697483281082,0.5514742654540061,0.5397925784901066,0.5845396132316575,0.564000951917804
CBPA2_HUMAN_Tsuboyama_2023_1O6X,2068,0.6463251143473003,0.5981970220049186,0.6371101531056318,0.632810811442324,0.5862000479002739,0.6325479440851924
CBS_HUMAN_Sun_2020,7217,0.46386848127182945,0.4413253885577766,0.4448035870488899,0.4461354869573855,0.4262326222029862,0.43684103763196047
CBX4_HUMAN_Tsuboyama_2023_2K28,2282,0.5545803646671262,0.5856256703439822,0.575097678694553,0.5583941431088639,0.6141739446870451,0.5937200739293649
CCDB_ECOLI_Adkar_2012,1176,0.5189866570501263,0.48480887125856476,0.5090200144248106,0.5055355210962856,0.5155787955283087,0.5261742697439596
CCDB_ECOLI_Tripathi_2016,1663,0.3297297297297297,0.32717379033168503,0.30594504278714807,0.3188895662579873,0.25460723881776515,0.25364311680101154
CCR5_HUMAN_Gill_2023,6137,0.45399727814961943,0.4471357534489268,0.4462753050137917,0.455172079733893,0.3700816588291266,0.3952430986627633
CD19_HUMAN_Klesmith_2019_FMC_singles,3761,0.43301130584046793,0.4584962455143963,0.429934958746574,0.4493559450142691,0.3536885260376932,0.37456225629397305
CP2C9_HUMAN_Amorosi_2021_abundance,6370,0.5552567107313976,0.5500174334699532,0.5599735226769804,0.5622362562296753,0.5363285035309511,0.5545386672824184
