DMS_id,loAU_loEU,err_loAU_loEU,loAU_hiEU,err_loAU_hiEU,hiAU_loEU,err_hiAU_loEU,hiAU_hiEU,err_hiAU_hiEU
A0A140D2T1_ZIKV_Sourisseau_2019,0.4939503192567094,0.2690956134185402,0.4393994083606008,0.23800377588179625,0.31184082372704125,0.2508229337781412,0.346769735002313,0.23281123318751987
A0A192B1T2_9HIV1_Haddox_2018,0.6536814708484678,0.20475985206959993,0.6033653532434305,0.20680919294187228,0.41744921098035254,0.21917463085478728,0.40895106401382814,0.21658456605887427
A0A1I9GEU1_NEIME_Kennouche_2019,0.09390796517070983,0.3518688469881528,0.09615706232172834,0.3086285852012533,0.06816788145527937,0.314332770948823,-0.04017984805710334,0.2935762012202642
A0A247D711_LISMN_Stadelmann_2021,0.5465614262440128,0.23454325468844525,0.32930035990292167,0.263686599866807,0.42602973337942124,0.22964442885442135,0.16178412335740622,0.28020643476937324
A0A2Z5U3Z0_9INFA_Doud_2016,0.6992683228404634,0.18543815540804245,0.5614402613642533,0.20387476549182434,0.5570583731214132,0.20100821849971906,0.4786301424304937,0.1953769699623793
A0A2Z5U3Z0_9INFA_Wu_2014,0.6274559405185748,0.20056449287897132,0.5349507509548381,0.22006718924972002,0.4883635771046864,0.20942499634841036,0.4233236511169499,0.20724153837283055
A4D664_9INFA_Soh_2019,0.5707477941521273,0.2433512054417014,0.4362825262946752,0.23859589763583752,0.3509510731677966,0.2425664738351885,0.3076921841276485,0.2397254391790888
A4GRB6_PSEAI_Chen_2020,0.8241328883439553,0.13812458006260142,0.78717116003226,0.1454114188541928,0.7236129556902816,0.15145698454641113,0.6303474146125976,0.1687310743660197
A4_HUMAN_Seuma_2022,0.5327095997151697,0.258357074818012,0.618840158995181,0.20801760197354593,0.23120451828037625,0.254835667354155,0.3508729126355231,0.2256615901676352
AACC1_PSEAI_Dandage_2018,0.5870112529569252,0.24109135006795812,0.5428192771084337,0.2019772593985046,0.3737781526968886,0.22311344210824416,0.4821099910412267,0.20643293408423893
ACE2_HUMAN_Chan_2020,0.35276762435533293,0.29268441304507564,0.16048510501444627,0.3066328595576507,0.3340359800962743,0.24411915439623985,0.1578119247466018,0.2594027263330175
ADRB2_HUMAN_Jones_2020,0.6539678029445063,0.20606120559824262,0.5823160618056145,0.2076868221428124,0.4848778929550502,0.20937396819426163,0.43204560107598056,0.21013887689813612
AICDA_HUMAN_Gajula_2014_3cycles,0.6212334856617947,0.2205058099794942,0.3635347194015549,0.24066985645933017,0.4418604824607909,0.22207792207792207,0.19478222374627344,0.25116150058941816
AMFR_HUMAN_Tsuboyama_2023_4G3O,0.4753063331204842,0.29626307071125374,0.3951939768834262,0.2639653069878553,0.020187718092311926,0.24694177621268829,0.1568165373922265,0.2666138661697208
AMIE_PSEAE_Wrenbeck_2017,0.7802106295982507,0.16740162828607316,0.6660794390872455,0.17748883346947458,0.5843154625342315,0.1797141182951821,0.488975281183041,0.20350426450758025
ANCSZ_Hobbs_2022,0.7125383313525138,0.1876518709396436,0.6328294680528616,0.190471714556048,0.4125816847227193,0.20994758727155027,0.4652960780733863,0.20518317424599866
ARGR_ECOLI_Tsuboyama_2023_1AOY,0.7857129983980755,0.16155806810012419,0.44260827111539786,0.2255460588793922,0.5575810619321497,0.17978035339146453,0.29740107567420765,0.22851738425508922
BBC1_YEAST_Tsuboyama_2023_1TG0,0.7048206778999394,0.18810889773660722,0.17763698340322195,0.28961220409532334,0.7231081394473676,0.18393035890203288,0.2655837490128976,0.26790040026279
BCHB_CHLTE_Tsuboyama_2023_2KRU,0.7405373218930799,0.18955425568754988,0.5584927449745273,0.21747745036343905,0.703098166627988,0.15494609975649126,0.3365485749201949,0.24125349433628937
BLAT_ECOLX_Deng_2012,0.6731245003951996,0.18985410413463402,0.5168422651333312,0.2139043047436809,0.5514264204149778,0.1905746946473941,0.36025198978605166,0.21706865801092448
BLAT_ECOLX_Firnberg_2014,0.8588808938987348,0.10873227130966369,0.7893459902811799,0.13383390540004514,0.7975451573834843,0.12444050004790748,0.6424567303578619,0.1616975990734448
BLAT_ECOLX_Jacquier_2013,0.8499099008425054,0.1341338575259532,0.7741238792271762,0.1424309017691719,0.6161008129357828,0.16560781311186054,0.6588864200983062,0.15195026916013848
BLAT_ECOLX_Stiffler_2015,0.8571812249430568,0.11015895025602791,0.7946166132884791,0.1388262334005135,0.7927998355577065,0.13041410139605938,0.6284693940455193,0.15939520658295678
BRCA1_HUMAN_Findlay_2018,0.6986384109960283,0.21020297068201257,0.5725807463223681,0.1997324278417829,0.5544096074843843,0.1957567725948996,0.4365578026356746,0.21108967835080827
BRCA2_HUMAN_Erwood_2022_HEK293T,0.478915825293659,0.2161540449728612,0.5111975548763547,0.22393081761006292,0.44456793553764945,0.21798742138364785,0.5134455065242971,0.2109014675052411
C6KNH7_9INFA_Lee_2018,0.7396875812104151,0.18465274516334118,0.4552457072982458,0.22252251501178924,0.5965153108307678,0.1904099410216781,0.4037592852904111,0.21803165029481641
CALM1_HUMAN_Weile_2017,0.3714370329182085,0.28519730075599947,0.2636588853930607,0.27603978648117233,0.1556489406173682,0.2814840401456443,0.1600636197300009,0.26123907682349246
